University Name,Overall Score,Citations per Paper,Papers per Faculty,Academic Reputation,Faculty Student Ratio,Staff with PhD,International Research Center,International Students,Outbound Exchange,Inbound Exchange,International Faculty,Employer Reputation,Success,Predicted Success
Peking University,100.0,96.4,79.8,100.0,98.6,90.7,98.0,69.1,100.0,88.5,83.2,100.0,1,1
The University of Hong Kong,99.7,99.5,55.0,100.0,93.3,97.4,98.4,100.0,100.0,99.8,100.0,96.8,1,1
National University of Singapore (NUS),98.9,99.9,57.4,100.0,85.8,82.5,99.9,99.2,97.6,93.4,100.0,99.9,1,1
Nanyang Technological University,98.3,100.0,53.8,100.0,93.0,67.0,99.7,98.8,97.9,90.5,100.0,98.8,1,1
Fudan University,97.2,92.1,63.1,99.8,92.5,73.4,92.1,81.0,94.9,99.5,98.9,99.5,1,1
The Chinese University of Hong Kong (CUHK),96.7,99.6,61.5,99.9,84.0,80.3,96.0,99.4,96.1,100.0,100.0,91.5,1,1
Tsinghua University,96.3,98.6,80.8,100.0,99.0,96.9,97.9,51.7,59.6,15.9,46.0,100.0,1,1
Zhejiang University,96.0,86.0,96.2,99.3,54.2,95.1,99.9,66.4,100.0,100.0,99.7,99.9,1,1
Yonsei University,95.4,78.2,45.3,99.8,94.8,98.4,97.7,90.9,68.4,100.0,50.5,100.0,1,1
City University of Hong Kong (CityUHK),95.3,99.8,91.4,96.6,97.7,97.7,88.9,100.0,100.0,100.0,100.0,74.0,1,1
The Hong Kong University of Science and Technology,95.1,99.9,77.8,99.7,76.6,94.3,70.6,99.8,100.0,98.8,100.0,92.3,1,1
Universiti Malaya (UM),94.8,67.5,37.0,99.7,92.1,84.9,99.9,94.2,94.3,99.0,89.4,99.9,1,1
Korea University,94.5,89.4,41.8,99.5,87.7,93.7,91.1,85.7,81.4,100.0,40.6,99.9,1,1
Shanghai Jiao Tong University,93.2,76.7,96.3,99.8,79.1,61.9,95.8,67.6,65.9,100.0,43.2,99.4,1,1
KAIST - Korea Advanced Institute of Science & Technology,92.4,89.1,83.1,99.9,79.5,98.3,70.6,45.5,67.3,81.1,51.2,99.7,1,1
Sungkyunkwan University (SKKU),92.1,80.5,42.0,96.2,92.9,97.9,80.3,83.6,99.4,100.0,44.9,96.8,1,1
The Hong Kong Polytechnic University,92.0,99.9,60.3,98.2,83.1,64.9,97.8,99.6,90.4,73.0,100.0,78.8,1,1
Seoul National University,91.8,69.3,69.0,100.0,94.2,79.0,95.6,56.4,40.4,78.2,30.5,100.0,1,1
Hanyang University,89.1,80.0,34.3,89.4,91.1,79.7,89.0,91.6,73.7,97.1,44.8,98.3,1,1
Universiti Putra Malaysia (UPM),89.0,42.7,41.9,96.2,77.5,96.8,98.2,99.7,100.0,100.0,70.9,94.3,1,1
The University of Tokyo,88.6,35.8,72.6,100.0,97.0,87.8,99.5,76.0,37.8,24.9,29.5,100.0,1,1
Pohang University of Science And Technology (POSTECH),88.1,92.3,82.2,91.1,100.0,98.6,36.5,14.0,75.5,91.8,60.8,98.3,1,1
Kyoto University,88.0,42.0,55.8,100.0,98.7,90.4,99.3,62.3,10.5,24.8,42.0,100.0,1,1
Nanjing University,86.5,97.4,69.1,95.4,61.6,74.3,92.0,35.6,92.0,95.8,90.2,73.4,1,1
Tohoku University,86.4,20.1,51.4,99.0,99.7,89.3,92.9,46.9,76.6,57.0,38.5,99.0,1,1
National Taiwan University (NTU),85.5,61.2,52.0,100.0,43.1,85.1,94.7,72.4,38.6,73.0,43.4,99.8,1,1
Universiti Kebangsaan Malaysia (UKM),85.5,29.8,35.6,96.7,89.8,91.0,98.9,97.5,37.1,29.6,79.7,95.7,1,1
Universiti Teknologi Malaysia,84.8,47.4,54.4,90.7,66.9,85.6,98.8,99.1,73.7,90.1,38.4,93.4,1,1
Al-Farabi Kazakh National University,84.6,2.0,5.3,94.4,99.9,95.5,90.3,90.4,100.0,98.8,82.3,98.7,1,1
Tokyo Institute of Technology (Tokyo Tech),84.2,19.1,73.7,99.2,94.7,71.1,87.4,76.8,9.0,22.2,54.9,99.9,1,1
University of Science and Technology of China,84.0,98.0,77.0,92.4,99.8,41.3,96.7,26.3,91.9,33.6,33.0,66.3,1,1
Nagoya University,82.6,21.7,52.2,97.4,95.0,89.3,90.4,63.3,11.8,27.9,39.3,95.5,1,1
Osaka University,82.6,20.4,81.9,99.7,49.3,93.3,92.8,48.9,42.4,46.8,55.6,99.4,1,1
Kyushu University,82.0,24.2,53.6,95.8,90.5,95.1,93.8,56.6,6.5,6.2,47.2,95.7,1,1
Hokkaido University,81.8,27.8,49.1,96.1,90.5,87.2,97.4,48.6,6.5,6.2,47.2,94.7,1,1
Taylors University,81.3,95.7,15.1,73.3,98.8,14.0,62.5,100.0,100.0,92.1,91.6,98.5,1,1
Universiti Sains Malaysia (USM),80.8,27.5,44.3,96.9,63.1,54.2,99.6,99.8,40.8,29.0,56.1,96.6,1,1
Wuhan University,80.5,93.7,72.8,85.0,26.2,88.5,97.5,25.1,91.9,38.6,74.0,82.8,1,1
National Tsing Hua University - NTHU,78.4,44.6,72.7,94.7,46.5,94.4,68.1,51.2,33.3,30.3,28.0,96.9,1,1
Kyung Hee University,77.5,72.9,22.3,66.8,93.7,94.4,80.6,91.8,97.5,98.8,38.8,80.1,1,1
National Cheng Kung University (NCKU),77.4,37.6,37.3,93.5,53.1,81.8,85.1,52.8,34.1,13.0,42.8,97.6,1,1
National Yang Ming Chiao Tung University (NYCU),76.9,28.7,74.5,78.7,71.7,96.8,79.7,62.6,48.1,46.0,48.7,94.5,1,1
Tongji University,76.2,79.2,89.8,77.4,47.8,76.1,95.4,72.6,100.0,98.4,86.0,54.1,1,1
Indian Institute of Technology Delhi (IITD),75.4,26.9,95.2,95.0,27.2,94.7,89.2,5.3,9.7,2.7,9.1,99.0,1,1
UCSI University,75.1,48.4,10.9,72.4,97.6,21.0,56.3,99.9,100.0,100.0,99.0,94.9,1,1
Universitas Indonesia,74.7,1.5,17.4,95.2,85.9,10.6,55.5,31.6,100.0,100.0,98.8,98.0,1,1
Chulalongkorn University,73.7,31.2,18.5,98.3,51.1,78.0,98.0,15.8,28.2,26.2,47.1,79.0,1,1
Indian Institute of Technology Bombay (IITB),73.1,16.9,96.2,96.6,17.9,96.3,78.0,3.6,6.4,6.9,13.1,99.5,1,1
Keio University,73.1,18.0,15.5,93.8,77.0,3.3,83.8,43.7,30.5,42.9,27.8,99.8,1,1
Sun Yat-sen University,73.1,91.2,42.3,77.4,67.2,93.3,97.3,18.8,5.4,1.2,5.9,70.9,1,1
Waseda University,72.8,10.7,13.4,96.5,40.4,18.1,91.5,74.3,46.6,36.6,61.2,99.9,1,1
Airlangga University,70.5,1.4,10.0,85.1,82.4,9.7,60.7,31.9,86.9,93.1,88.2,97.8,1,1
Gadjah Mada University,70.2,1.5,10.7,95.1,77.3,8.8,57.0,14.8,47.4,76.7,75.1,96.7,1,1
Universiti Teknologi PETRONAS (UTP),70.2,49.1,90.2,58.2,66.8,46.2,89.7,64.1,88.6,98.3,98.0,70.9,1,1
Mahidol University,70.1,19.8,14.0,88.8,93.3,81.8,83.6,22.2,48.9,76.2,15.1,62.4,1,1
Indian Institute of Technology Madras (IITM),69.6,16.5,98.1,88.7,30.5,99.9,56.1,6.3,30.5,5.9,11.7,95.0,1,1
Tianjin University,69.5,89.9,92.4,53.3,69.8,56.0,90.7,69.5,97.6,99.1,56.9,53.0,1,1
Harbin Institute of Technology,69.3,78.6,96.9,71.2,45.9,77.4,93.0,27.5,40.9,4.4,24.1,63.4,1,1
Bandung Institute of Technology (ITB),69.1,1.8,19.4,88.5,71.0,79.8,35.8,18.0,26.7,56.9,99.6,96.5,1,1
Indian Institute of Technology Kharagpur (IIT-KGP),68.8,36.1,94.8,80.3,14.8,99.9,93.5,2.3,3.8,1.5,1.2,89.5,1,1
Beijing Normal University,68.7,86.9,78.9,79.8,41.5,92.4,94.3,65.9,38.4,12.8,20.2,40.5,1,1
Indian Institute of Science,68.4,28.6,100.0,92.7,49.8,99.9,58.8,5.2,6.7,8.4,11.1,68.6,1,1
University of Tsukuba,68.3,16.2,44.2,82.6,74.8,88.2,91.9,62.8,16.5,28.1,34.6,63.5,1,1
Beijing Institute of Technology,68.0,77.1,70.2,65.0,64.2,64.0,93.0,32.5,51.2,15.6,17.7,65.6,1,1
L.N. Gumilyov Eurasian National University (ENU),67.5,2.2,5.0,86.5,94.8,54.2,29.4,35.3,28.0,31.1,93.3,94.8,1,1
National Taiwan University of Science and Technology (Taiwan Tech),67.3,55.4,41.2,71.9,64.3,58.2,42.4,71.4,43.5,78.7,48.9,80.7,1,1
Indian Institute of Technology Kanpur (IITK),66.7,22.7,91.1,83.7,26.2,99.9,58.2,2.0,5.6,5.8,7.1,92.7,1,1
National University of Sciences & Technology (NUST) Islamabad,66.7,56.4,29.8,60.1,83.8,12.7,95.7,21.1,13.6,3.3,13.0,97.0,1,1
Huazhong University of Science and Technology,66.3,96.1,94.6,59.9,15.1,81.5,97.9,14.0,38.6,17.6,16.0,71.1,1,1
Ewha Womans University,66.1,60.0,13.6,65.4,90.6,95.3,45.1,68.6,90.7,92.8,21.3,61.6,1,1
Hong Kong Baptist University,65.3,96.9,44.7,55.6,80.0,52.1,55.2,100.0,97.0,86.7,100.0,43.7,1,1
Xian Jiaotong University,64.5,71.2,83.1,57.2,24.1,71.6,98.2,19.8,27.2,7.8,11.7,82.0,1,1
Chung-Ang University (CAU),64.4,52.0,18.4,53.3,85.1,91.6,42.5,83.1,94.5,92.3,38.5,75.2,1,1
Sunway University,62.9,77.9,28.7,48.9,71.9,14.9,76.5,75.9,15.9,35.6,70.6,81.8,1,1
Shandong University,62.8,69.6,82.8,52.1,30.5,71.5,89.8,16.2,26.5,35.4,24.7,78.7,1,1
Kobe University,62.7,12.9,34.7,73.0,59.8,76.3,81.1,28.3,13.6,36.0,21.3,76.5,1,1
Xiamen University,62.7,95.4,53.3,65.7,34.0,57.1,88.6,16.4,27.6,84.5,15.7,49.9,1,1
Universiti Brunei Darussalam (UBD),62.3,26.4,30.8,59.6,98.1,94.3,52.4,90.6,100.0,100.0,100.0,42.9,1,1
National Taiwan Normal University,62.2,26.4,14.6,80.6,81.5,65.5,30.2,71.0,60.4,68.7,39.1,60.5,1,1
Universiti Utara Malaysia (UUM),62.2,38.1,21.6,63.0,59.3,83.3,50.1,98.5,60.8,99.1,48.4,67.6,1,1
Pusan National University,61.9,36.0,36.9,58.9,79.8,93.4,84.1,52.4,40.7,74.8,30.4,53.4,1,1
University of Delhi,61.9,13.3,60.9,84.6,9.5,71.1,96.4,5.5,1.1,1.7,2.4,78.4,1,1
National Sun Yat-sen University,61.7,24.2,46.1,70.3,51.4,96.0,52.8,45.4,61.7,46.2,53.8,66.9,1,1
Quaid-i-Azam University,61.3,82.7,82.6,54.0,9.5,51.7,90.5,8.2,14.8,3.4,21.4,84.3,1,1
Shanghai University,61.3,69.0,37.8,59.8,71.4,84.2,85.0,27.1,32.7,3.3,75.6,46.1,1,1
University of the Philippines,60.6,6.4,6.3,83.0,47.9,1.0,87.1,2.1,3.3,2.2,3.4,94.4,1,1
University of Tehran,60.5,70.5,78.0,61.0,5.7,62.7,99.4,8.9,1.3,2.0,5.0,75.5,1,1
Ulsan National Institute of Science and Technology (UNIST),59.9,99.7,71.2,45.2,98.8,99.8,33.1,42.2,10.7,12.6,63.0,47.1,1,1
Satbayev University,59.8,1.5,4.7,81.8,98.7,17.2,15.8,53.8,7.7,8.9,92.5,82.6,1,1
Jilin University,59.6,78.3,32.4,41.2,57.8,41.9,88.3,9.8,24.9,1.0,33.0,86.8,1,1
National Taipei University of Technology,59.5,42.5,57.6,45.6,41.6,99.9,26.7,64.8,65.9,83.5,49.0,91.4,1,1
IPB University (aka Bogor Agricultural University),58.6,1.4,10.2,67.2,94.3,50.6,22.7,18.9,29.4,63.4,85.2,83.3,1,1
Sogang University,58.6,44.6,11.6,57.4,76.6,52.3,13.8,63.3,45.1,89.0,21.5,86.3,1,1
Sichuan University,58.5,76.0,95.1,59.9,20.0,67.8,94.6,25.4,4.6,5.6,21.7,49.8,1,1
Daegu Gyeongbuk Institute of Science and Technology (DGIST),57.9,87.6,96.6,36.7,94.7,98.4,11.6,17.5,99.7,42.8,20.3,56.4,1,1
Hiroshima University,57.7,9.7,31.1,66.4,90.4,68.5,93.9,50.6,8.4,8.1,36.4,44.5,1,1
Sharif University of Technology,57.5,71.0,99.1,40.4,8.6,99.9,87.6,3.2,1.4,2.5,8.4,82.1,1,1
Nankai University,57.2,99.8,49.2,56.1,43.0,93.2,76.5,13.7,22.3,2.0,34.5,38.0,1,1
University of Macau,56.8,97.4,84.6,40.8,15.7,89.1,83.3,100.0,33.0,23.8,100.0,39.8,1,1
Sejong University,56.7,99.1,52.4,38.7,22.5,74.6,89.9,76.5,34.3,39.7,55.4,52.6,1,1
Kyungpook National University,56.6,40.1,36.7,38.4,84.5,91.8,77.6,66.3,45.5,88.3,31.8,53.7,1,1
Universiti Teknologi MARA - UiTM,56.6,3.3,13.6,76.0,36.6,11.5,93.1,10.0,5.0,15.5,3.6,82.8,1,1
Renmin (People's) University of China,56.5,71.5,14.0,58.6,30.0,87.2,32.2,12.1,53.6,15.5,20.1,80.3,1,1
Indian Institute of Technology Guwahati (IITG),56.2,33.8,98.9,58.0,11.5,99.2,76.6,2.7,6.5,1.8,6.0,72.0,1,1
Gwangju Institute of Science and Technology (GIST),55.9,75.8,99.8,48.3,59.0,99.9,37.2,39.6,96.8,24.1,47.0,35.9,1,1
University of Chinese Academy of Sciences (UCAS),55.8,88.1,100.0,60.7,7.1,97.5,100.0,10.0,1.3,1.0,59.3,22.7,1,1
Southern University of Science and Technology (SUSTech),55.6,98.8,86.0,32.8,94.2,96.5,72.7,4.7,61.4,99.5,72.3,11.4,1,1
Chiang Mai University,55.3,11.6,14.9,80.8,31.5,55.4,88.5,22.1,1.5,28.4,14.8,54.5,1,1
Indian Institute of Technology Roorkee (IITR),55.3,31.9,97.4,58.8,13.5,99.3,67.1,8.9,9.7,4.9,2.2,70.3,1,1
East China Normal University,54.6,90.8,52.0,44.3,29.7,83.3,95.0,45.5,74.5,99.1,55.9,21.6,1,1
National Central University,54.0,18.5,37.2,62.0,39.6,85.5,43.5,43.3,25.9,23.6,32.9,71.0,1,1
University of Dhaka,54.0,51.4,9.8,65.4,14.6,2.6,77.6,1.4,2.8,6.6,4.2,86.4,1,1
Institut Teknologi Sepuluh Nopember (ITS Surabaya),53.2,1.5,8.2,56.8,85.8,1.0,11.2,27.2,88.7,92.1,81.1,84.6,1,1
Lahore University of Management Sciences (LUMS),53.1,58.6,21.0,53.4,45.4,12.1,23.5,7.5,15.7,1.6,34.3,97.4,1,0
Inha University,52.9,64.2,18.9,42.2,93.6,41.2,31.5,52.3,97.0,93.6,28.4,49.0,1,1
Dongguk University,52.7,90.2,14.2,29.7,94.5,62.1,54.3,69.3,72.6,85.8,26.7,40.0,1,1
Jeonbuk National University,52.7,61.7,18.8,49.8,80.3,60.8,52.2,32.9,77.7,41.0,23.5,41.4,1,1
Chandigarh University,52.5,3.6,6.0,54.2,52.9,3.0,55.9,54.4,32.8,28.8,72.4,90.5,1,1
National Chung Hsing University,52.5,22.9,29.2,61.3,42.9,90.1,46.7,35.7,17.0,13.9,26.2,64.2,1,1
Taipei Medical University (TMU),52.3,39.7,34.8,37.0,97.4,94.1,29.6,52.2,100.0,100.0,42.2,45.0,1,1
National Chengchi University,52.2,8.1,7.1,59.3,31.2,79.4,13.1,66.6,85.8,68.7,59.3,80.7,1,1
Ajou University,52.0,61.8,27.7,45.3,85.9,67.8,22.2,65.6,27.2,72.9,27.3,50.5,1,1
HUFS - Hankuk (Korea) University of Foreign Studies,52.0,25.2,3.3,39.5,93.3,80.7,12.1,89.3,100.0,100.0,66.4,61.6,1,1
Beihang University (former BUAA),51.6,64.5,76.9,41.1,71.2,66.5,76.7,23.2,37.8,24.2,21.3,32.4,1,1
Duy Tan University,50.9,100.0,37.2,38.3,7.8,1.8,98.9,4.7,9.6,7.6,72.5,64.1,1,0
Thammasat University,50.8,5.7,7.8,67.3,44.6,59.3,61.8,7.0,41.4,32.5,26.9,58.6,1,1
COMSATS University Islamabad,50.6,74.9,33.7,40.2,25.3,4.2,99.6,4.6,1.5,1.1,3.1,73.7,1,0
Management and Science University,50.6,6.7,7.6,52.5,68.2,14.4,11.4,100.0,100.0,99.6,99.9,67.5,1,1
Abai Kazakh National Pedagogical University (Abai University),50.2,1.3,2.5,77.1,79.7,4.6,2.5,19.5,45.1,21.0,72.7,63.9,1,1
Universiti Tunku Abdul Rahman (UTAR),50.2,52.0,14.2,46.0,27.6,13.2,68.7,23.8,38.3,52.5,35.4,74.1,1,1
International Islamic University Malaysia (IIUM),50.0,4.2,14.0,67.1,25.3,16.5,88.5,93.3,6.5,8.6,53.9,54.3,1,1
Diponegoro University,49.8,1.2,9.0,60.8,54.9,1.3,37.9,15.8,48.9,47.2,61.2,78.8,0,0
Southeast University,49.8,60.2,81.0,44.7,36.7,62.5,93.4,18.1,42.4,17.6,38.9,28.3,0,0
Universitas Padjadjaran (UNPAD),49.8,1.4,7.1,59.9,76.1,4.5,23.6,10.8,34.2,36.9,69.5,78.6,0,0
Universiti Teknologi Brunei,49.8,53.4,20.8,49.8,96.7,63.5,17.2,29.2,97.1,10.5,100.0,31.9,0,0
Auezov South Kazakhstan University (SKU),49.5,1.1,2.0,65.8,97.1,6.9,2.4,57.5,48.3,16.2,35.9,68.8,0,0
University of the Punjab,49.5,30.7,30.0,50.0,7.9,5.3,88.3,3.4,3.2,1.9,9.5,90.2,0,0
Konkuk University,49.1,71.1,29.2,27.8,80.7,64.6,70.7,55.3,75.9,65.7,28.0,33.2,0,0
Singapore Management University,49.1,84.1,23.5,41.5,19.8,27.7,25.7,93.9,100.0,100.0,100.0,48.7,0,0
