University Name,Overall Score,Citations per Paper,Papers per Faculty,Academic Reputation,Faculty Student Ratio,Staff with PhD,International Research Center,International Students,Outbound Exchange,Inbound Exchange,International Faculty,Employer Reputation,Success,Predicted Success
Krirk University,48.9,1.3,1.8,43.1,65.6,54.8,1.7,100.0,80.0,16.6,100.0,86.7,0,0
Ateneo de Manila University,49.0,5.8,7.3,64.2,41.7,1.8,29.7,12.5,14.4,15.1,8.4,93.6,0,0
Hitotsubashi University,48.8,4.2,8.3,47.0,50.0,33.5,5.5,63.9,45.6,67.0,49.1,97.4,0,0
Amirkabir University of Technology,48.2,54.9,99.8,20.6,9.1,99.1,94.0,14.4,2.9,1.4,56.6,64.4,0,0
Ritsumeikan University,48.2,9.5,10.8,53.1,15.4,31.0,44.4,41.9,15.3,14.4,61.9,91.9,0,0
Universiti Tenaga Nasional (UNITEN),48.0,45.7,32.7,29.4,93.0,11.8,48.0,92.7,92.4,98.0,45.8,42.7,0,0
South China University of Technology,47.8,97.2,78.9,41.1,35.5,29.8,76.7,24.0,26.7,6.2,31.0,26.9,0,0
UPES,47.5,10.1,17.0,72.8,60.1,6.7,83.2,2.5,10.4,2.4,46.2,30.5,0,0
Kazakh National Agrarian Research University (KazNARU),47.4,1.3,3.0,63.6,99.3,27.6,4.5,67.7,17.3,30.7,48.6,53.2,0,0
Vellore Institute of Technology (VIT),46.4,21.7,42.9,45.1,16.5,80.9,97.1,15.2,2.9,2.0,26.4,52.4,0,0
Iran University of Science and Technology,46.1,64.0,98.2,28.9,5.1,98.3,79.3,5.4,2.8,1.5,33.9,50.9,0,0
China Medical University,45.4,64.5,96.4,25.6,40.9,65.5,96.5,34.2,63.6,57.7,12.8,18.9,0,0
Dalian University of Technology,45.5,71.8,81.4,34.2,32.6,87.9,82.1,15.2,58.0,18.3,32.7,17.8,0,0
University of Science and Technology Beijing,45.4,74.1,96.5,40.2,19.8,67.6,83.1,14.4,50.7,11.1,9.2,19.5,0,0
Kasetsart University,45.3,10.2,8.3,68.3,12.9,12.2,77.4,3.3,10.5,8.1,13.0,57.3,0,0
North South University,45.3,60.6,9.1,44.4,13.4,6.6,32.5,2.3,33.8,3.2,23.9,87.9,0,0
Shenzhen University,45.3,96.9,69.9,28.4,43.7,87.7,90.7,4.6,5.5,12.1,31.6,14.9,0,0
Tashkent Institute of Irrigation and Agricultural Mechanization Engineers (TIIAME)-National Research University,44.9,5.4,9.7,52.2,86.2,47.7,6.7,21.3,43.9,62.3,51.4,53.3,0,0
Universiti Malaysia Pahang Al-Sultan Abdullah (UMPSA),44.9,41.3,56.4,37.5,29.1,94.7,80.8,38.9,55.4,44.5,52.8,23.8,0,0
Vietnam National University,44.8,36.0,5.7,49.9,12.6,26.5,87.2,2.5,19.3,30.8,16.9,57.3,0,0
Hunan University,44.5,100.0,52.0,29.0,30.3,45.9,70.3,7.8,28.8,12.7,14.2,39.5,0,0
De La Salle University,44.4,4.5,15.4,64.4,13.9,1.6,28.2,7.5,5.4,5.3,3.7,88.2,0,0
University of Engineering & Technology (UET) Lahore,44.4,44.5,18.7,35.4,33.6,1.4,62.8,9.6,1.9,1.3,1.4,84.8,0,0
Universiti Pendidikan Sultan Idris (UPSI),44.0,6.2,12.8,43.8,48.7,97.5,26.3,77.1,98.8,100.0,51.5,38.4,0,0
University of Seoul,43.9,55.9,17.1,38.0,56.9,79.2,31.6,33.2,50.4,73.2,16.9,37.8,0,0
Karaganda Buketov University,43.8,1.4,2.3,53.0,76.2,1.2,5.5,26.7,96.3,52.2,36.4,63.7,0,0
Central South University,43.5,87.2,95.1,31.0,10.9,66.9,92.3,21.0,34.0,3.5,19.7,18.9,0,0
Shoolini University of Biotechnology and Management Sciences,43.5,99.8,42.1,28.5,17.4,29.0,67.7,6.8,14.0,2.7,63.6,46.7,0,0
INTI International University,43.4,3.9,6.3,34.8,79.7,19.6,4.9,99.6,100.0,100.0,99.2,57.6,0,0
Birla Institute of Technology and Science,43.2,28.0,43.8,40.2,17.7,98.0,56.3,12.3,25.2,1.2,5.7,56.9,0,0
Universitas Brawijaya,43.0,1.3,7.5,60.2,22.9,1.3,23.6,4.9,20.8,32.7,37.5,79.8,0,0
Northwestern Polytechnical University,42.8,76.6,59.8,22.2,65.6,71.3,79.3,26.6,49.6,1.8,43.5,15.2,0,0
Savitribai Phule Pune University,42.8,7.4,82.1,32.0,69.5,36.8,66.8,12.5,1.0,1.1,2.5,55.7,0,0
Chiba University,42.6,11.5,29.4,52.0,83.9,35.7,40.7,22.5,5.5,26.5,22.7,34.3,0,0
Tokyo University of Science,42.6,7.6,37.2,36.4,18.4,80.4,24.8,19.2,1.9,4.3,35.0,89.6,0,0
Tokyo Medical and Dental University (TMDU),42.5,24.3,39.4,40.3,100.0,87.7,27.7,51.7,12.8,8.2,6.4,28.0,0,0
University of Calcutta,42.4,8.0,62.6,53.1,10.9,95.7,82.3,2.0,3.8,1.1,56.8,27.9,0,0
University of Santo Tomas,42.0,5.1,2.7,43.3,20.9,1.2,21.1,29.3,99.8,79.9,69.6,79.4,0,0
The University of Lahore,41.9,44.0,13.1,40.2,22.1,1.1,87.6,15.4,1.0,1.1,12.2,58.6,0,0
Amity University,41.8,8.6,34.3,37.3,20.6,66.6,87.7,65.6,99.9,15.4,11.2,38.8,0,0
Viet Nam National University Ho Chi Minh City (VNU-HCM),41.7,11.6,7.1,57.8,8.5,1.8,69.1,1.9,1.7,2.5,12.7,66.5,0,0
Lincoln University College,41.6,4.2,3.9,31.5,76.8,75.6,2.3,100.0,100.0,100.0,99.9,42.7,0,0
Khon Kaen University,41.5,9.8,16.6,53.4,14.7,70.9,76.2,11.5,18.9,21.5,16.5,40.4,0,0
Chongqing University,41.4,78.7,74.0,28.0,23.2,60.3,86.0,10.0,14.5,2.9,51.6,21.2,0,0
Jamia Millia Islamia,41.3,72.7,37.6,35.3,53.4,81.8,65.0,25.5,10.4,16.4,9.3,14.3,0,0
Lingnan University,41.3,51.1,20.1,35.0,18.5,90.9,16.8,100.0,98.3,90.7,100.0,28.2,0,0
National Chung Cheng University,41.2,13.1,16.4,42.2,23.7,74.8,26.9,18.6,36.6,48.3,14.6,66.9,0,0
Asia Pacific University of Technology and Innovation (APU) Malaysia,41.0,5.7,6.1,38.5,78.5,1.2,4.7,100.0,99.9,100.0,99.3,44.8,0,0
China Agricultural University,41.0,79.6,89.1,30.6,30.0,81.4,77.9,5.8,14.2,1.4,10.8,12.3,0,0
Tokyo University of Agriculture and Technology,40.9,7.9,75.9,45.6,24.5,93.2,61.0,34.1,14.7,13.0,16.5,31.0,0,0
Chungnam National University,40.8,19.4,29.1,32.3,67.1,73.6,47.6,40.9,44.5,89.3,21.9,32.3,0,0
Khoja Akhmet Yassawi International Kazakh-Turkish University,40.8,1.4,3.4,57.1,62.9,2.0,1.9,57.6,13.2,3.3,21.7,65.8,0,0
Universiti Malaysia Terengganu (UMT),40.6,27.2,42.0,36.6,25.6,80.0,75.4,43.5,68.2,78.8,31.8,19.7,0,0
Isfahan University of Technology,40.4,66.9,87.3,19.6,10.2,66.9,65.7,4.7,3.9,1.1,6.1,54.4,0,0
Manipal Academy of Higher Education,40.4,8.3,19.1,38.8,63.6,49.5,87.4,36.1,12.2,7.5,4.4,33.6,0,0
Ton Duc Thang University,40.3,100.0,45.7,19.6,10.1,1.1,99.8,4.8,59.4,75.7,27.1,28.3,0,0
Chonnam National University,40.0,50.0,23.3,34.0,66.2,83.2,40.0,34.7,44.1,29.0,26.8,21.3,0,0
Jinan University (China),40.0,91.3,45.7,20.3,17.6,61.3,78.6,99.0,43.9,30.5,68.7,12.7,0,0
University of Agriculture,39.6,87.4,56.9,24.0,2.6,25.8,91.8,1.8,1.7,1.1,7.0,42.9,0,0
Banaras Hindu University,39.5,22.5,25.2,45.8,22.6,73.5,82.7,6.7,2.3,1.8,1.8,32.9,0,0
Bina Nusantara University (BINUS),39.2,1.3,25.9,44.2,35.3,2.8,9.4,22.6,100.0,96.9,69.3,57.8,0,0
Prince of Songkla University,38.6,14.5,10.9,62.2,30.1,38.9,60.8,8.1,4.8,3.3,16.2,24.9,0,0
Multimedia University (MMU),38.4,11.9,16.3,41.5,21.0,20.5,23.6,73.7,49.3,100.0,62.0,51.1,0,0
Osaka Metropolitan University,38.4,8.5,24.7,41.8,71.9,35.5,41.4,16.3,2.5,5.8,14.1,42.8,0,0
Shiraz University,37.8,49.3,69.8,26.1,9.2,95.4,80.3,10.7,2.0,1.6,1.6,31.5,0,0
Kanazawa University,37.6,17.3,33.4,36.7,75.2,80.3,46.2,28.9,13.0,24.2,24.5,18.2,0,0
Sophia University,37.0,5.7,5.9,42.7,38.2,5.2,6.7,45.4,54.1,57.2,69.1,59.4,0,0
Lanzhou University,36.9,75.2,34.6,29.6,56.3,5.6,89.8,5.4,6.8,3.6,6.3,11.5,0,0
East China University of Science and Technology,36.8,88.1,57.7,25.8,22.6,81.9,59.6,7.2,16.1,1.6,6.9,15.7,0,0
Symbiosis International (Deemed University),36.7,7.7,6.2,21.0,43.3,27.0,18.6,27.9,23.9,41.9,39.8,86.8,0,0
University of Electronic Science and Technology of China,36.5,68.0,96.9,20.4,16.2,2.2,95.6,12.3,69.2,1.3,9.3,20.5,0,0
Ferdowsi University of Mashhad,36.3,30.5,50.2,26.7,6.8,92.5,94.8,34.2,1.2,1.1,2.3,29.7,0,0
Jiangsu University,36.3,90.4,29.0,11.8,86.4,8.5,91.8,28.3,18.9,1.7,13.8,7.0,0,0
Soochow University,36.2,99.2,40.5,24.7,29.3,25.9,71.5,12.7,34.6,11.2,19.2,12.3,0,0
SRM Institute of Science and Technology,36.1,11.2,15.6,35.3,26.5,11.1,82.5,6.0,10.4,6.2,3.1,52.4,0,0
Universitas Sebelas Maret,36.1,1.3,9.4,47.0,41.2,10.1,15.6,14.2,79.6,46.6,44.2,47.9,0,0
King Mongkut's University of Technology Thonburi,35.9,33.7,20.1,43.9,25.2,44.0,55.1,16.8,4.5,13.5,27.8,27.5,0,0
China University of Geosciences,35.6,70.2,42.0,19.7,73.9,5.1,92.0,13.9,36.7,11.8,3.1,5.1,0,0
Lovely Professional University (LPU),35.6,28.9,13.1,29.7,22.0,5.2,79.7,19.7,25.4,26.4,26.3,46.4,0,0
Macau University of Science and Technology,35.6,96.3,42.2,17.3,6.9,73.3,35.6,100.0,19.8,42.8,100.0,15.7,0,0
Universiti Malaysia Sarawak (UNIMAS),35.6,6.8,15.0,44.1,26.6,19.5,40.7,44.5,59.9,67.5,69.5,30.7,0,0
Beijing University of Technology,35.3,39.4,54.0,28.4,58.6,64.4,46.2,7.6,8.8,8.8,14.4,22.4,0,0
Kazakh-British Technical University,35.3,2.9,7.6,46.9,27.6,2.0,13.9,12.2,19.4,1.8,18.5,69.8,0,0
Kyrgyz-Turkish Manas University,35.3,3.6,7.6,53.5,20.7,38.5,5.1,63.4,10.8,9.2,99.2,42.2,0,0
Okayama University,35.3,10.5,26.8,32.1,80.3,26.5,78.3,31.0,5.1,9.3,18.7,17.4,0,0
Shahid Beheshti University (SBU),35.2,25.9,58.7,29.8,8.2,2.9,90.3,6.5,7.2,100.0,3.3,33.9,0,0
Nagasaki University,34.8,12.3,21.2,25.7,93.2,63.0,74.0,24.4,14.7,14.7,17.8,10.6,0,0
Nanjing University of Science and Technology,34.8,59.8,87.1,21.9,16.9,82.0,58.1,14.6,62.7,25.7,15.7,11.7,0,0
Universitas Hasanuddin,34.8,1.2,5.2,50.3,62.5,3.6,17.3,4.7,8.0,10.1,26.2,44.7,0,0
University of Hyderabad,34.7,27.1,66.1,44.1,27.0,97.6,37.3,9.2,1.0,1.1,4.6,13.8,0,0
Chang Gung University,34.6,38.0,60.1,23.7,87.7,40.3,38.5,23.4,2.9,2.0,15.7,20.0,0,0
Tokyo Metropolitan University,34.6,24.6,28.4,43.1,56.3,9.1,41.8,23.4,9.9,9.4,22.1,24.5,0,0
National University of Uzbekistan named after Mirzo Ulugbek,34.5,1.4,5.3,57.8,18.7,15.8,10.9,12.6,18.2,18.8,87.1,43.2,0,0
International Islamic University,34.3,71.7,14.1,26.1,6.9,3.4,75.4,30.2,2.0,1.1,12.8,40.5,0,0
Universiti Malaysia Sabah (UMS),34.3,4.6,19.8,47.6,16.9,35.3,39.3,24.5,14.0,56.2,29.6,35.6,0,0
Beijing Jiaotong University,34.2,20.0,45.0,34.4,39.0,37.0,41.1,42.2,97.4,10.5,10.9,24.0,0,0
Nanjing University of Aeronautics and Astronautics,34.2,29.2,79.3,21.3,36.2,63.3,59.8,23.1,99.6,22.7,16.3,15.9,0,0
University of Mumbai,34.2,3.8,90.6,32.6,14.2,34.6,21.3,9.1,1.0,1.1,4.8,64.1,0,0
Asia University Taiwan,33.7,79.6,65.8,22.4,7.1,49.5,83.5,16.9,14.8,7.8,28.8,7.5,0,0
Universiti Tun Hussein Onn  Malaysia (UTHM),33.7,5.5,37.8,36.0,19.3,61.8,66.2,31.9,9.8,37.7,19.5,27.1,0,0
University of Ulsan,33.7,63.7,42.2,19.6,79.3,72.9,40.5,11.7,4.9,5.1,5.1,10.4,0,0
Wuhan University of Technology,33.7,84.7,27.6,25.9,33.7,16.0,76.4,12.3,13.3,3.1,9.6,11.7,0,0
BRAC University,33.6,15.2,5.9,39.9,17.1,1.0,26.8,4.8,2.6,1.6,5.1,70.6,0,0
Indian Institute of Technology Indore,33.5,42.4,96.7,23.3,42.3,83.2,30.9,2.2,10.7,3.5,5.3,22.5,0,0
Kumamoto University,33.5,27.0,29.7,26.5,75.3,66.9,51.9,18.2,3.8,26.9,21.8,13.2,0,0
Yokohama National University,33.5,5.0,29.4,33.2,32.9,18.2,36.3,36.4,6.3,14.1,29.5,53.1,0,0
Kalinga Institute of Industrial Technology (KIIT) University,33.4,8.3,9.1,15.3,65.4,77.7,71.5,47.5,26.1,72.0,36.2,22.3,0,0
Yeungnam University,33.4,82.0,30.8,15.3,25.3,61.2,66.4,35.4,9.9,12.8,68.8,13.5,0,0
Northwest Agriculture and Forestry University,33.2,87.6,41.1,17.8,47.1,23.5,85.2,4.5,9.7,2.5,8.3,5.4,0,0
American University of Central Asia,32.6,6.1,4.2,30.2,85.3,2.9,2.7,99.9,52.1,40.8,71.3,31.4,0,0
Osh State University,32.8,1.0,1.2,54.0,24.6,1.1,1.1,97.9,15.8,3.5,8.7,48.8,0,0
China University of Mining and Technology,32.4,59.3,71.6,14.0,48.5,41.3,78.1,9.0,18.3,38.3,6.4,6.6,0,0
Thapar Institute of Engineering & Technology,32.4,82.8,48.0,19.6,20.2,59.1,44.8,7.9,31.0,1.7,15.9,20.2,0,0
Tunghai University,32.4,72.8,13.9,24.5,9.1,63.0,32.3,39.8,41.9,56.9,25.0,24.1,0,0
Karaganda State Technical University,32.1,1.0,3.6,36.5,98.3,10.9,1.5,60.5,31.2,2.5,29.2,32.1,0,0
The Catholic University of Korea,31.8,26.5,34.4,17.7,99.8,79.3,9.1,59.6,38.3,38.4,11.4,13.6,0,0
Saveetha Institute of Medical And Technical Sciences (SIMATS),31.7,5.3,48.4,21.6,37.4,9.1,87.0,23.4,87.2,20.7,98.6,13.7,0,0
China University of Political Science and Law,31.6,3.5,2.4,11.1,15.8,95.5,4.1,5.1,99.7,39.1,11.2,81.6,0,0
University of Karachi,31.6,12.1,16.9,39.7,2.6,2.3,54.9,1.6,1.0,1.1,10.6,52.6,0,0
NJSC KIMEP University,31.3,49.7,12.8,22.4,20.1,7.3,1.5,56.5,53.5,26.3,95.8,48.8,0,0
O.P. Jindal Global University (JGU),31.2,9.6,7.1,35.6,74.1,6.5,6.5,3.1,36.1,4.4,45.8,38.7,0,0
Yangzhou University,31.2,84.8,28.0,8.8,54.6,14.9,69.3,35.3,96.8,7.4,15.6,4.2,0,0
Indian Institute of Technology BHU Varanasi (IIT BHU Varanasi),30.9,44.9,95.8,22.7,7.7,99.9,32.6,1.9,6.7,1.1,2.5,23.3,0,0
Sookmyung Women's University,30.9,72.6,4.5,17.4,58.7,48.6,3.0,10.4,69.2,58.5,12.0,25.0,0,0
Aga Khan University,30.8,16.1,21.1,18.2,100.0,1.0,49.1,4.6,1.0,1.1,2.3,33.2,0,0
Jiangnan University,30.8,71.3,59.4,17.5,28.5,11.0,67.1,5.9,19.3,3.4,4.5,18.3,0,0
University of Colombo,30.8,16.4,9.7,44.1,4.7,8.1,23.1,3.1,1.1,1.3,1.5,56.1,0,0
Aligarh Muslim University,30.7,39.7,27.3,38.9,25.8,9.4,69.6,4.6,1.0,1.1,1.0,13.3,0,0
Siksha ‘O’ Anusandhan (Deemed to be University),30.7,7.8,24.8,36.6,54.2,59.8,31.0,10.9,1.0,1.1,5.8,24.4,0,0
Daffodil International University,30.6,18.5,12.0,34.9,7.6,1.1,27.9,14.6,16.4,11.9,15.4,59.2,0,0
Saken Seifullin Kazakh Agrotechnical University,30.4,1.3,3.3,35.4,71.1,15.0,1.6,21.9,56.2,26.3,29.5,36.6,0,0
Beijing University of Chemical Technology,30.3,99.8,38.5,17.9,43.4,1.1,55.6,7.1,12.4,2.8,6.8,7.9,0,0
Qingdao University,30.3,96.7,36.3,12.2,20.5,42.5,75.3,6.6,11.9,1.1,7.8,9.8,0,0
Telkom University,30.3,1.3,10.9,33.6,34.1,1.6,8.5,26.3,60.2,72.5,70.3,43.5,0,0
Donghua University,30.1,94.1,41.1,15.3,43.1,12.4,44.7,16.3,62.1,19.5,5.7,6.3,0,0
D. Serikbayev East Kazakhstan Technical University,30.0,1.3,3.1,41.2,85.0,1.1,1.5,12.5,6.9,1.3,39.0,31.9,0,0
Soonchunhyang University,30.0,38.2,13.5,21.0,82.7,34.2,10.8,20.7,10.2,55.7,16.9,23.7,0,0
Amrita Vishwa Vidyapeetham,29.8,3.5,26.7,22.0,51.3,11.8,59.7,6.3,27.3,94.5,63.3,21.4,0,0
National Chinyi University of Technology,29.5,25.8,15.9,31.9,12.9,52.1,11.5,29.8,3.4,17.2,5.1,46.7,0,0
Sungshin Women's University,29.5,9.1,2.1,21.4,93.0,18.6,2.5,22.5,85.5,44.6,7.7,33.9,0,0
Northwest University (China),29.2,64.5,27.4,16.1,69.5,17.5,49.7,13.3,47.9,6.1,10.6,5.3,0,0
Ocean University of China,29.1,48.1,60.5,20.8,13.9,33.0,76.4,6.5,27.3,2.8,8.5,12.4,0,0
Huazhong Agricultural University,29.0,91.5,52.2,16.7,12.1,61.0,45.6,6.6,11.5,1.5,11.7,9.3,0,0
